Gene,Sex,Control,Driver,Total grooming time,Rep
Control,female,GD,medium,11.3,1
Control,female,GD,medium,4.1,2
Control,female,GD,medium,86.6,3
Control,female,GD,medium,23.2,4
Control,female,GD,medium,16.1,5
Control,female,GD,medium,53,6
Control,female,GD,medium,16.6,7
Control,female,GD,medium,57.6,8
Control,female,GD,medium,18.3,9
Control,female,GD,medium,2.2,10
Control,female,GD,medium,4.5,11
Control,female,GD,medium,25.1,12
Control,female,GD,medium,50.5,13
Control,female,GD,medium,15.2,14
Control,female,GD,medium,40.1,15
Control,female,GD,medium,20.9,16
Control,female,GD,medium,18.9,17
Control,female,GD,medium,0,18
Control,female,GD,medium,0,19
Control,female,GD,medium,0,20
Control,male,GD,medium,29.3,1
Control,male,GD,medium,40,2
Control,male,GD,medium,17.3,3
Control,male,GD,medium,7.1,4
Control,male,GD,medium,5.6,5
Control,male,GD,medium,62.8,6
Control,male,GD,medium,30.1,7
Control,male,GD,medium,3.4,8
Control,male,GD,medium,4.2,9
Control,male,GD,medium,11.2,10
Control,male,GD,medium,2.1,11
Control,male,GD,medium,24.4,12
Control,male,GD,medium,12.4,13
Control,male,GD,medium,5.6,14
Control,male,GD,medium,32.7,15
Control,male,GD,medium,22.4,16
Control,male,GD,medium,26.8,17
Control,male,GD,medium,43.7,18
Control,male,GD,medium,5.7,19
Control,male,GD,medium,0,20
Control,male,KK,medium,16.7,1
Control,male,KK,medium,57.7,2
Control,male,KK,medium,8.5,3
Control,male,KK,medium,46.2,4
Control,female,KK,medium,16,5
Control,female,KK,medium,26.2,6
Control,female,KK,medium,47.1,7
Control,female,KK,medium,32.1,8
Control,female,KK,medium,18.5,9
Control,female,KK,medium,66.2,10
Control,female,KK,medium,56.5,11
Control,female,KK,medium,80.8,12
Control,female,KK,medium,17.9,13
Control,female,KK,medium,16.7,14
Control,female,KK,medium,8.4,15
Control,female,KK,medium,22.1,16
Control,female,KK,medium,54,17
Control,female,KK,medium,87.2,18
Control,female,KK,medium,39.2,19
Control,female,KK,medium,40.2,20
Control,male,KK,medium,36.7,1
Control,male,KK,medium,57.8,2
Control,male,KK,medium,25.7,3
Control,male,KK,medium,35.1,4
Control,male,KK,medium,28.9,5
Control,male,KK,medium,28.4,6
Control,male,KK,medium,26.4,7
Control,male,KK,medium,15.2,8
Control,male,KK,medium,26,9
Control,male,KK,medium,53.8,10
Control,male,KK,medium,36.4,11
Control,male,KK,medium,21.9,12
Control,male,KK,medium,46,13
Control,male,KK,medium,36.9,14
Control,male,KK,medium,21.6,15
Control,male,KK,medium,17.8,16
Control,male,KK,medium,30.1,17
Control,male,KK,medium,64.9,18
Control,male,KK,medium,48.9,19
Control,male,KK,medium,26.1,20
pxn,male,KK,medium,18.6,1
pxn,female,KK,medium,77.7,2
pxn,female,KK,medium,65.7,3
pxn,female,KK,medium,9.5,4
pxn,female,KK,medium,20.7,5
pxn,female,KK,medium,22.5,6
pxn,female,KK,medium,53,7
pxn,female,KK,medium,22.6,8
pxn,female,KK,medium,52.1,9
pxn,female,KK,medium,62.2,10
pxn,female,KK,medium,80.6,11
pxn,female,KK,medium,67.7,12
pxn,female,KK,medium,76.7,13
pxn,female,KK,medium,42.9,14
pxn,female,KK,medium,5.5,15
pxn,female,KK,medium,30,16
pxn,male,KK,medium,142.6,1
pxn,male,KK,medium,152.7,2
pxn,male,KK,medium,12.5,3
pxn,male,KK,medium,39.9,4
pxn,male,KK,medium,24.6,5
pxn,male,KK,medium,3,6
pxn,male,KK,medium,7.3,7
pxn,male,KK,medium,5.2,8
pxn,male,KK,medium,29.8,9
pxn,male,KK,medium,37.5,10
pxn,male,KK,medium,29.6,11
pxn,male,KK,medium,77.2,12
pxn,male,KK,medium,3.9,13
pxn,male,KK,medium,62.7,14
pxn,male,KK,medium,56.7,15
pxn,male,KK,medium,46.9,16
pxn,male,KK,medium,26.4,17
pxn,male,KK,medium,0,18
pxn,male,KK,medium,0,19
pxn,male,KK,medium,0,20
